300,0.39
285,4.41
270,8.13
240,14.67
210,20.07
180,24.42
150,27.57
120,29.4
90,29.28
75,28.23
60,26.4
45,23.67
30,19.77
22.5,17.28
15,14.19
7.5,10.17
3.75,7.32
0,0
3.75,-4.29
7.5,-5.85
15,-7.47
22.5,-8.22
30,-8.58
45,-8.64
60,-8.22
75,-7.5
90,-6.78
120,-5.4
150,-4.2
180,-3
210,-1.95
240,-1.17
270,-0.66
285,-0.48
300,-0.39
